"Subject","n_trials","n_explores","n_corrects","n_selects","n_outoftimes","StartDate","StartTime","tm_accuracy","tm_select_made","tm_nodesturns_count","tm_nodes_count","tm_turns_count","tm_average_RT","tm_trial_duration","tm_path_dist_trav","tm_euc_dist_trav","tm_path_efficiencies","tm_path_efficiencies_acc_only","ts_accuracy","ts_select_made","ts_nodesturns_count","ts_nodes_count","ts_turns_count","ts_average_RT","ts_trial_duration","ts_path_dist_trav","ts_euc_dist_trav","ts_path_efficiencies","ts_path_efficiencies_acc_only","em_nodesturns_count","em_nodes_count","em_turns_count","em_average_RT","em_trial_duration","em_path_dist_trav","em_euc_dist_trav","em_path_efficiencies","em_path_efficiencies_acc_only","es_nodesturns_count","es_nodes_count","es_turns_count","es_average_RT","es_trial_duration","es_path_dist_trav","es_euc_dist_trav","es_path_efficiencies","es_path_efficiencies_acc_only","enodes_A","enodes_B","enodes_C","enodes_D","enodes_E","enodes_F","enodes_G","enodes_H","enodes_I","enodes_J","enodes_K","enodes_L","enodes_M","enodes_N","enodes_O","enodes_P","enodes_Q","enodes_R","enodes_S","enodes_T","enodes_U","enodes_V","enodes_W","enodes_X","enodes_Y","enodes_Z","lm_bwstair","lm_person","lm_philsbar","lm_starrynight","obj_chair","obj_chicken","obj_clock","obj_guitar","obj_lamp","obj_snowman","obj_spaceship","obj_trophy","obj_umbrella"
"43","48","2","34","41","7","2017-09-07","13:40:44","0.708333333333333","0.854166666666667","14","7.75","6.25","317.25203691155","33742.3541666667","23.515625","9.70746147315888","1.23645854928344","1.14299775966068","0.459339643185104","0.356673957637416","3.79809582750273","1.98397838011556","2.41889723423448","117.558365838565","9077.23790937455","6.93921293784882","3.82681386240571","0.392745409140965","0.266022344531935","181","90","91","342.514136238773","481283","298.875","8.18479263887214","NaN","NaN","1.4142135623731","2.82842712474619","1.4142135623731","111.785836428361","123.036579926459","13.611805537841","3.29102399221402",NA,NA,"8","19","28","23","19","14","31","30","4","13","2","10","22","4","4","2","19","34","16","13","20","6","3","12","4","2","30","31","28","42","1","4","3","4","2","4","5","4","3"
"44","48","2","1","23","25","2017-09-13","16:51:37","0.0208333333333333","0.479166666666667","15.7291666666667","8.1875","7.54166666666667","560.118691080233","41025.1875","26.546875","10.5014061305247","1.47975739338914","1","0.144337567297406","0.504852341308647","3.64218535832502","1.53894478907782","2.79024389487869","199.401900010546","7326.8856629053","6.36931979943281","3.14801533399912","0.546178267344186",NA,"165.5","98","67.5","449.927807387667","481143","310.875","9.22910196624968","NaN","NaN","9.19238815542512","2.82842712474619","6.36396103067893","108.486349105488","206.475180106472","1.23743686707646","3.56508818868936",NA,NA,"6","10","14","13","14","8","16","17","2","10","2","5","18","4","4","12","12","30","12","21","28","18","6","33","4","12","23","18","34","36","6","2","6","3","2","2","3","4","9"
"45","48","2","38","38","10","2017-09-13","14:33:56","0.791666666666667","0.791666666666667","13.8541666666667","7.85416666666667","6","356.188382958577","33208.9791666667","23.6875","9.37407398512027","1.33766485036143","1.25306543422342","0.410414079086058","0.410414079086058","4.46256096368553","2.2501969968922","2.56821819183088","272.639901586905","10763.9577797696","8.49929596583703","3.36860780710945","0.486569364655526","0.434699777747932","170.5","93","77.5","422.774547038328","480949.5","299.125","7.3371560631277","NaN","NaN","7.77817459305202","1.4142135623731","6.36396103067893","102.668233586112","1009.0413767532","1.59099025766973","8.25498527016354",NA,NA,"8","11","23","17","26","18","25","23","5","19","4","8","16","3","3","8","12","23","12","19","16","8","4","18","4","8","27","23","18","44","4","6","4","4","4","5","4","3","4"
"46","48","2","37","40","8","2017-09-15","10:37:58","0.770833333333333","0.833333333333333","14.25","7.72916666666667","6.52083333333333","373.92316833019","34967.375","23.0833333333333","9.1675904536445","1.23152753265699","1.14652676135127","0.424744395393794","0.376621788577355","3.99201330317998","2.12121586303437","2.40557493754442","140.981759913007","10410.7261557696","7.56203657509804","3.93052346999306","0.5176656266144","0.223116847251825","160","85","75","503.248030872749","482163.5","276.25","4.34813178273152","NaN","NaN","5.65685424949238","5.65685424949238","0","148.470117929855","2328.5026304473","3.18198051533946","6.14918693812442",NA,NA,"8","5","13","13","23","13","20","22","3","16","4","8","26","2","6","7","7","29","12","20","19","10","5","22","0","7","21","23","33","26","4","4","5","4","4","3","4","6","5"
"47","48","2","47","47","1","2017-10-18","14:05:23","0.979166666666667","0.979166666666667","12.2708333333333","7.14583333333333","5.125","285.499642718393","28326.7916666667","19.875","9.21020938775751","1.02651110904396","1.02651110904396","0.144337567297406","0.144337567297406","2.78857534993579","1.76236764504801","1.31480926535194","101.381762553624","7336.197881732","5.95349888184841","3.08266624585207","0.120841439515922","0.120841439515922","159.5","90","69.5","727.150004005447","483302.5","296.25","6.28361872241708","NaN","NaN","17.6776695296637","14.142135623731","3.53553390593274","344.081059979095","3638.06438920479","49.8510280736516","1.23784954763456",NA,NA,"8","16","20","21","22","14","20","18","4","10","1","8","15","4","3","4","14","29","12","19","22","8","3","16","4","4","23","25","34","41","2","4","3","4","1","4","4","3","4"
"48","32","2","10","24","8","2017-10-12","14:14:12","0.3125","0.75","15.28125","8.96875","6.3125","296.509909107893","35954.71875","27","10.5387397753944","1.42111307632538","1.27918792517007","0.470929074859885","0.43994134506406","4.39379602944733","2.38928218401233","2.4943484507078","122.891389540365","10103.0168385947","8.32553398461818","3.57260565562469","0.63644155702886","0.452728046442332","176","101.5","74.5","383.480503575977","481196.5","320","14.7617338024078","NaN","NaN","2.82842712474619","3.53553390593274","0.707106781186548","85.2686814809436","358.50313806158","13.7885822331377","1.88611513267358",NA,NA,"8","16","23","20","25","8","15","18","4","16","4","4","19","2","3","8","16","27","16","26","20","12","4","26","0","12","26","27","33","32","4","3","4","4","4","4","2","3","6"
"49","48","2","47","47","1","2017-10-17","10:45:06","0.979166666666667","0.979166666666667","12.1666666666667","7.20833333333333","4.95833333333333","352.15157414923","29076.6458333333","20.3020833333333","9.19427121584747","1.01199276157052","1.01199276157052","0.144337567297406","0.144337567297406","2.79310193865464","1.50118156772949","1.63678893391433","138.115577424294","6695.57392861876","5.27412348604953","3.41137985076936","0.0575193047085034","0.0575193047085034","152.5","85","67.5","736.087142481137","481523","274.25","5.6568542494924","NaN","NaN","17.6776695296637","4.24264068711928","13.4350288425444","340.508920685714","593.9696961967","11.667261889578","8.00000000000003",NA,NA,"8","8","20","17","13","16","20","19","4","18","4","8","13","4","3","8","11","32","8","15","15","8","4","19","2","8","22","13","30","33","4","5","4","4","4","4","4","3","4"
"50","48","2","16","30","18","2017-11-21","17:04:50","0.333333333333333","0.625","13.8958333333333","7.45833333333333","6.4375","457.946386881773","35570.5","23.4010416666667","8.71196560892623","1.47920703204465","1.14342195185892","0.476393067340331","0.489246054790082","4.09587017400082","1.95653116111069","2.70465516738605","215.002890730557","10657.8889830242","8.06600753875474","3.600581959423","1.37324022042839","0.244877759456926","167.5","86","81.5","446.758341759352","483922.5","281.875","12.3336000900401","NaN","NaN","7.77817459305202","5.65685424949238","2.12132034355964","77.0782140066703","3817.66951162617","10.4298250225016","0.277700626448731",NA,NA,"6","16","16","11","16","10","19","25","3","23","6","5","19","2","4","8","13","39","6","23","27","6","4","14","4","10","32","22","32","46","4","3","4","3","6","3","3","4","3"
"51","11","2","3","9","1","2017-11-08","13:35:38","0.272727272727273","0.9","9.09090909090909","5.36363636363636","3.72727272727273","3111.87778055278","29310","14.5227272727273","7.59703492757247","1.13428571428571","1.11428571428571","0.467099366496914","0.316227766016838","4.32329840410179","3.07482445914323","1.95401684183679","8989.08950853427","13838.2910714357","9.42367666137701","3.49031751280142","0.322701184413334","0.197948663722156","148.5","85","63.5","659.710839160839","481070","281.25","9.1661147660808","NaN","NaN","24.7487373415292","21.2132034355964","3.53553390593274","309.740955534902","650.538238691624","51.618795026618","4.83111583281446",NA,NA,"8","6","10","16","19","8","20","19","2","16","2","8","19","4","5","10","9","21","6","21","21","6","6","19","6","10","23","15","25","35","5","2","6","4","2","2","4","5","3"
"52","48","2","40","41","7","2017-11-07","16:48:34","0.833333333333333","0.854166666666667","13.75","7.79166666666667","5.95833333333333","435.890723376569","34294.2291666667","23","9.13727638995666","1.22696549292185","1.10487114471083","0.376621788577355","0.356673957637416","2.91365092317657","1.70054225811392","1.79785135746705","157.661011213739","8170.93485169357","6.49304046407268","3.67673435216386","0.647066282550106","0.463664112158495","152.5","80.5","72","701.005882352941","481916","268.25","3.25","NaN","NaN","2.12132034355964","2.12132034355964","4.24264068711928","0.574004328257034","452.54833995939","12.3743686707646","4.59619407771256",NA,NA,"2","6","14","12","17","10","13","17","3","22","5","6","14","2","3","6","20","31","10","25","20","10","4","23","4","6","23","24","39","27","3","3","4","1","5","3","3","3","5"
